date,firm_id,V,sigma_V,DD,PD
2020-01-02,AAPL,1357033.7931279328,0.42294585570137305,2.0428117218451893,4.8545722058672875e-08
2020-01-03,AAPL,1345026.5054073625,0.42254094332332226,2.0429916078044643,5.2940669782572537e-08
2020-01-06,AAPL,1354845.905440311,0.4228689143928323,2.042846021417268,4.93557690906348e-08
2020-01-07,AAPL,1349089.7054213367,0.42267722673180386,2.0429311626359254,5.142491516190143e-08
2020-01-08,AAPL,1368572.21910346,0.4233149937174268,2.0426480654549417,4.481213188719175e-08
2020-01-09,AAPL,1394983.0191734354,0.4241570316675612,2.0422736606741636,3.720079855523021e-08
2020-01-10,AAPL,1397861.1191800656,0.4242472021864227,2.042231922833814,3.645905732220886e-08
2020-01-13,AAPL,1424962.1341600344,0.42507094019577546,2.0418655189530117,3.021734236305241e-08
2020-01-14,AAPL,1407354.9341239114,0.42453675887124576,2.0421022881671536,3.41522510673904e-08
2020-01-15,AAPL,1401937.3341117927,0.4243694944864457,2.0421773356187187,3.5468742235168436e-08
2020-01-16,AAPL,1417864.550369663,0.4248530003982748,2.041961732276228,3.1774052797100084e-08
2020-01-17,AAPL,1432085.7503969101,0.42527950052178787,2.0417709825918666,2.8793618601633272e-08
2020-01-21,AAPL,1423295.1679060534,0.42501265939019905,2.041890034252089,3.06294944544804e-08
2020-01-22,AAPL,1427866.2679148521,0.4251496251805983,2.0418288602990105,2.967519809185001e-08
2020-01-23,AAPL,1434143.3867538027,0.42533205335290897,2.041747288352962,2.844380863208689e-08
2020-01-24,AAPL,1430418.786747063,0.4252214773790844,2.041796721581902,2.9184892474198344e-08
2020-01-27,AAPL,1392156.9866658035,0.42405209354320517,2.0423149250787285,3.809745548561761e-08
2020-01-28,AAPL,1427892.3068711606,0.42514115553334336,2.041836088966499,2.9726884868173237e-08
2020-01-29,AAPL,1455149.6069178237,0.4259406375016049,2.041476264321782,2.4644335516421724e-08
2020-01-30,AAPL,1453118.0069149602,0.4258824060197483,2.0415009478058486,2.4990074974540865e-08
2020-01-31,AAPL,1394553.2282326675,0.42412055997277515,2.0422746166089456,3.754164465140684e-08
2020-02-03,AAPL,1390997.9282233987,0.4240060451753176,2.042339490187649,3.8481274749175416e-08
2020-02-04,AAPL,1432645.728312669,0.4252780171545351,2.041776919431239,2.879376040139179e-08
2020-02-05,AAPL,1443324.6510644066,0.4255895249810311,2.0416321553563277,2.6780274797086167e-08
2020-02-06,AAPL,1458730.9510887174,0.4260352946266729,2.04143270833116,2.4096513921464843e-08
2020-02-07,AAPL,1440615.8510594089,0.4255102546753673,2.0416671583969688,2.7284133413520543e-08
2020-02-10,AAPL,1446892.9751063501,0.4256894273491523,2.0415873717481072,2.615775906062726e-08
2020-02-11,AAPL,1438935.8750929025,0.4254565727051599,2.0416915330323744,2.762872514547153e-08
2020-02-12,AAPL,1469917.7751399498,0.42634863705335657,2.0412940161883446,2.2348502453132045e-08
2020-02-13,AAPL,1460450.0004659018,0.42607617263431824,2.0414140962623284,2.3862862339409403e-08
2020-02-14,AAPL,1460788.6005785656,0.41722688108408684,2.0887678667118337,1.1693272575266408e-08
2020-02-18,AAPL,1436422.4272625898,0.4081952441600182,2.1355056777275614,6.8889785295508415e-09
2020-02-19,AAPL,1455384.0272975077,0.40077867550267054,2.181208691414328,2.9183310552024934e-09
2020-02-20,AAPL,1441840.02731114,0.39286090088121434,2.2267011157683854,1.5816147917445325e-09
2020-02-21,AAPL,1412056.2552570347,0.3850478239490431,2.2706351686608373,1.008071963178441e-09
2020-02-24,AAPL,1351277.5552574312,0.37767163123059705,2.307720515022835,9.591920263501106e-10
2020-02-25,AAPL,1309799.055258472,0.3716270887102969,2.3400408747013417,8.484965680136968e-10
2020-02-26,AAPL,1328604.3845062049,0.3675264065624885,2.371660810734039,4.276925917774173e-10
2020-02-27,AAPL,1250218.4845065034,0.3627881411522539,2.38836752522243,7.17248065815709e-10
2020-02-28,AAPL,1249541.2845077366,0.36063231345041125,2.4034507983065874,5.70238164020527e-10
2020-03-02,AAPL,1353843.115084693,0.36701992584414583,2.3799488346608353,2.9278617973337484e-10
2020-03-03,AAPL,1314904.115057282,0.3692881063886954,2.3568644021755216,6.201977257993235e-10
2020-03-04,AAPL,1369939.6469102544,0.3753881373373591,2.326083388620488,6.041932707115532e-10
2020-03-05,AAPL,1329646.2469043196,0.3788682729167658,2.2958313740233645,1.4162259036039743e-09
2020-03-06,AAPL,1313732.0468974954,0.3827342266383937,2.2679395020706594,2.522079485012706e-09
2020-03-09,AAPL,1220122.1799838464,0.38654565586539386,2.2249055764270764,1.1172951179209237e-08
2020-03-10,AAPL,1298677.3799569004,0.398570862084767,2.168133463119078,1.2828834885389392e-08
2020-03-11,AAPL,1258045.3797568588,0.4056725544744321,2.1193929406148886,3.604848468898995e-08
2020-03-12,AAPL,1146659.0126705403,0.4127307453436306,2.056679171815502,2.0754673002283317e-07
2020-03-13,AAPL,1268555.0115442139,0.43608097746740787,1.9605117154104446,2.869453984000428e-07
2020-03-16,AAPL,1122110.485305637,0.4522347290340985,1.8553395485108248,2.8925035802929287e-06
2020-03-17,AAPL,1165633.5722156484,0.47609168358564535,1.76086656294704,6.4041611889196904e-06
2020-03-18,AAPL,1140407.7379175152,0.493562816234006,1.6863661350236008,1.681288438994782e-05
2020-03-19,AAPL,1132619.6919831396,0.5100341189209237,1.6234519179354883,3.390663330945367e-05
2020-03-20,AAPL,1068975.2124200899,0.5223030015505898,1.5678251570395716,8.254187000613457e-05
2020-03-23,AAPL,1048996.7919519222,0.5357927099185786,1.5186265000775419,0.00014513700312721554
2020-03-24,AAPL,1141264.8950702508,0.5597964530111723,1.4600730597426397,0.00016185500343941032
2020-03-25,AAPL,1135689.275440349,0.5760585653755756,1.4110559351131406,0.0002608717450733084
2020-03-26,AAPL,1188509.6437176832,0.5953614383963087,1.3649954976252283,0.00031982222926821904
2020-03-27,AAPL,1144826.0876667057,0.6076279856840943,1.325954665699673,0.0005348447346341641
2020-03-30,AAPL,1173786.6619358314,0.6237622600142599,1.2889140112552495,0.0006616712630033333
2020-03-31,AAPL,1171581.2030107384,0.636672191002893,1.2570182725782517,0.0008739465442627803
2020-04-01,AAPL,1116718.1923818628,0.6452367414513606,1.229092064894729,0.0013250911956048006
2020-04-02,AAPL,1133316.9954321503,0.6581821088847706,1.2017957124296228,0.0015584070704374813
2020-04-03,AAPL,1118916.9772429513,0.667843497132169,1.1783710063904063,0.0019603392689259056
2020-04-06,AAPL,1205091.5828655013,0.6861517168106771,1.1500542386330697,0.0018802902756830794
2020-04-07,AAPL,1192565.4220803122,0.6961356331566768,1.1278935736218942,0.0023204694730241614
2020-04-08,AAPL,1219816.6823975157,0.7082358711577995,1.106567316773682,0.0025354760579228636
2020-04-09,AAPL,1227596.8605873547,0.7170310371667629,1.090112928366917,0.002817980809428631
