date,firm_id,V,sigma_V,DD,PD
2020-01-02,AAPL,1357033.793136668,0.4228424406000342,-5.33349255038967,4.817075874582757e-08
2020-01-03,AAPL,1345026.5054576886,0.4225739271612978,-5.315881557096415,5.307108937460872e-08
2020-01-06,AAPL,1354845.9054639172,0.42287025312313287,-5.329061742161986,4.936071728170048e-08
2020-01-07,AAPL,1349089.7054069352,0.4227025916980245,-5.321270710731422,5.152246451952079e-08
2020-01-08,AAPL,1368572.2192503307,0.4234274252572174,-5.34506288865909,4.519283313828183e-08
2020-01-09,AAPL,1394983.0193897542,0.42422980719593606,-5.379207985150456,3.7407119053559277e-08
2020-01-10,AAPL,1397861.1191771198,0.4242449338097536,-5.3838592302648784,3.6452764288968976e-08
2020-01-13,AAPL,1424962.1347534312,0.42498366396133636,-5.418710100119067,3.0015282590229715e-08
2020-01-14,AAPL,1407354.9341477226,0.4245751401798215,-5.395048734932543,3.42524780212217e-08
2020-01-15,AAPL,1401937.3341075012,0.4243981207816812,-5.388388129021152,3.554619641204036e-08
2020-01-16,AAPL,1417864.5503615912,0.4249491631406614,-5.407198775676397,3.200904135350852e-08
2020-01-17,AAPL,1432085.7504213462,0.4253478439704349,-5.425195343520328,2.894559623431642e-08
2020-01-21,AAPL,1423295.1679051388,0.42506014434481953,-5.414434356888833,3.074137658805705e-08
2020-01-22,AAPL,1427866.2679201025,0.4251376723620936,-5.4209116894436296,2.9647924356242954e-08
2020-01-23,AAPL,1434143.3867472215,0.4253079655253601,-5.428649521436522,2.8391032138299552e-08
2020-01-24,AAPL,1430418.7867467771,0.42523374201714387,-5.423555922425968,2.9212462637704976e-08
2020-01-27,AAPL,1392156.9866633771,0.42421461373537717,-5.373692533474505,3.8570176478972777e-08
2020-01-28,AAPL,1427892.3074305528,0.4256354709646561,-5.4136471571792875,3.087689887053467e-08
2020-01-29,AAPL,1455149.606925219,0.42590142940579423,-5.454398910489363,2.456938976507462e-08
2020-01-30,AAPL,1453118.0069143039,0.4258851081092271,-5.451343751684041,2.4995316426616076e-08
2020-01-31,AAPL,1394553.2282180167,0.4243644973384837,-5.375225983364401,3.824334525509722e-08
2020-02-03,AAPL,1390997.9282213848,0.4240565902171583,-5.3734172951975845,3.862912491452561e-08
2020-02-04,AAPL,1432645.7282967207,0.4251224778866105,-5.428275478863634,2.8450583505543443e-08
2020-02-05,AAPL,1443324.651040682,0.42555527740921056,-5.439538179987831,2.6709430463713106e-08
2020-02-06,AAPL,1458730.9511428177,0.4261261877379855,-5.456596514147277,2.4267375887884753e-08
2020-02-07,AAPL,1440615.8510648482,0.4255771291798794,-5.434822925926008,2.742543777624498e-08
2020-02-10,AAPL,1446892.9751203754,0.4256772358442881,-5.443423609007364,2.6133076757965402e-08
2020-02-11,AAPL,1438935.8750969719,0.4254858582202175,-5.433102653578099,2.7691262628381014e-08
2020-02-12,AAPL,1469917.7756608855,0.4263216469082581,-5.4715846503509535,2.230146021141203e-08
2020-02-13,AAPL,1460450.00046688,0.426107499155711,-5.4591491589895895,2.392108567660756e-08
2020-02-14,AAPL,1460788.6005656584,0.41849072935920445,-5.566748811628002,1.2976804925950904e-08
2020-02-18,AAPL,1436422.4272696387,0.40966718170704314,-5.654262017239811,7.825864652375758e-09
2020-02-19,AAPL,1455384.0272063976,0.40267795450843413,-5.7920196443124,3.4772502909456685e-09
2020-02-20,AAPL,1441840.027300204,0.39429105939140974,-5.899984054456,1.8176835237058275e-09
2020-02-21,AAPL,1412056.2552561234,0.38635268951422286,-5.974945767843927,1.1508336923194326e-09
2020-02-24,AAPL,1351277.5552566762,0.3788784305291111,-5.98424047207303,1.0870096302402612e-09
2020-02-25,AAPL,1309799.055257875,0.3726341523958805,-6.007149910176288,9.440646232326035e-10
2020-02-26,AAPL,1328604.384508431,0.368240401528233,-6.121686101446806,4.629514596452792e-10
2020-02-27,AAPL,1250218.4853301828,0.36661499131423614,-5.984585160733684,1.0847103057147505e-09
2020-02-28,AAPL,1249541.2845087117,0.3614606749465493,-6.073615588953769,6.253095162967579e-10
